WKT,fid,DN
"POLYGON ((3372306.51187027 -122509.055707591,3372835.70865519 -122509.055707591,3372835.70865519 -123038.252492505,3372571.11026273 -123038.252492505,3372571.11026273 -123302.850884962,3372835.70865519 -123302.850884962,3372835.70865519 -123832.047669876,3372041.91347782 -123832.047669876,3372041.91347782 -123567.449277419,3372306.51187027 -123567.449277419,3372306.51187027 -123038.252492505,3372041.91347782 -123038.252492505,3372041.91347782 -122773.654100048,3372306.51187027 -122773.654100048,3372306.51187027 -122509.055707591))","73","1"
"POLYGON ((3370454.32312308 -123038.252492505,3370718.92151553 -123038.252492505,3370718.92151553 -123567.449277419,3371777.31508536 -123567.449277419,3371777.31508536 -123832.047669876,3371512.7166929 -123832.047669876,3371512.7166929 -124361.24445479,3371248.11830045 -124361.24445479,3371248.11830045 -124096.646062333,3370983.51990799 -124096.646062333,3370983.51990799 -123832.047669876,3370718.92151553 -123832.047669876,3370718.92151553 -124096.646062333,3370189.72473062 -124096.646062333,3370189.72473062 -123567.449277419,3370454.32312308 -123567.449277419,3370454.32312308 -123038.252492505))","74","1"
"POLYGON ((3369131.33116079 -123832.047669876,3369131.33116079 -124890.441239704,3369395.92955325 -124890.441239704,3369395.92955325 -124625.842847247,3369660.5279457 -124625.842847247,3369660.5279457 -124361.24445479,3369395.92955325 -124361.24445479,3369395.92955325 -123832.047669876,3369131.33116079 -123832.047669876))","75","1"
"POLYGON ((3378921.4716817 -123832.047669876,3379450.66846661 -123832.047669876,3379450.66846661 -124096.646062333,3379979.86525153 -124096.646062333,3379979.86525153 -124361.24445479,3379450.66846661 -124361.24445479,3379450.66846661 -124625.842847247,3379186.07007416 -124625.842847247,3379186.07007416 -124361.24445479,3378921.4716817 -124361.24445479,3378921.4716817 -124890.441239704,3378656.87328924 -124890.441239704,3378656.87328924 -124096.646062333,3378921.4716817 -124096.646062333,3378921.4716817 -123832.047669876))","76","1"
"POLYGON ((3378656.87328924 -125155.039632161,3378656.87328924 -125419.638024618,3378921.4716817 -125419.638024618,3378921.4716817 -125155.039632161,3378656.87328924 -125155.039632161))","77","1"
"POLYGON ((3391886.79291209 -125155.039632161,3391886.79291209 -125419.638024618,3392151.39130455 -125419.638024618,3392151.39130455 -125155.039632161,3391886.79291209 -125155.039632161))","78","1"
"POLYGON ((3367279.14241359 -125419.638024618,3367279.14241359 -125948.834809532,3367808.33919851 -125948.834809532,3367808.33919851 -125419.638024618,3367279.14241359 -125419.638024618))","79","1"
"POLYGON ((3391092.99773472 -125419.638024618,3391092.99773472 -125948.834809532,3391357.59612718 -125948.834809532,3391357.59612718 -126213.433201989,3391622.19451964 -126213.433201989,3391622.19451964 -125419.638024618,3391092.99773472 -125419.638024618))","80","1"
"POLYGON ((3393738.98165929 -125419.638024618,3393738.98165929 -125684.236417075,3394003.58005175 -125684.236417075,3394003.58005175 -125419.638024618,3393738.98165929 -125419.638024618))","81","1"
"POLYGON ((3378127.67650433 -125684.236417075,3378127.67650433 -125948.834809532,3378392.27489679 -125948.834809532,3378392.27489679 -125684.236417075,3378127.67650433 -125684.236417075))","82","1"
"POLYGON ((3381302.85721381 -125684.236417075,3381302.85721381 -125948.834809532,3381567.45560627 -125948.834809532,3381567.45560627 -125684.236417075,3381302.85721381 -125684.236417075))","83","1"
