WKT,fid,DN
"POLYGON ((3367279.14241359 -126213.433201989,3367279.14241359 -126478.031594446,3367543.74080605 -126478.031594446,3367543.74080605 -126742.629986903,3367808.33919851 -126742.629986903,3367808.33919851 -126213.433201989,3367279.14241359 -126213.433201989))","84","1"
"POLYGON ((3378921.4716817 -126213.433201989,3378921.4716817 -126478.031594446,3379186.07007416 -126478.031594446,3379186.07007416 -126213.433201989,3378921.4716817 -126213.433201989))","85","1"
"POLYGON ((3379450.66846661 -126213.433201989,3379450.66846661 -126478.031594446,3379715.26685907 -126478.031594446,3379715.26685907 -126213.433201989,3379450.66846661 -126213.433201989))","86","1"
"POLYGON ((3391622.19451964 -126213.433201989,3391622.19451964 -126478.031594446,3391886.79291209 -126478.031594446,3391886.79291209 -126213.433201989,3391622.19451964 -126213.433201989))","87","1"
"POLYGON ((3394532.77683666 -126213.433201989,3394532.77683666 -126742.629986903,3394797.37522912 -126742.629986903,3394797.37522912 -127007.22837936,3395061.97362158 -127007.22837936,3395061.97362158 -126213.433201989,3394532.77683666 -126213.433201989))","88","1"
"POLYGON ((3376540.08614959 -123832.047669876,3376804.68454204 -123832.047669876,3376804.68454204 -124361.24445479,3377333.88132696 -124361.24445479,3377333.88132696 -124625.842847247,3376804.68454204 -124625.842847247,3376804.68454204 -124890.441239704,3376540.08614959 -124890.441239704,3376540.08614959 -125155.039632161,3376010.88936467 -125155.039632161,3376010.88936467 -125419.638024618,3375746.29097222 -125419.638024618,3375746.29097222 -125684.236417075,3375481.69257976 -125684.236417075,3375481.69257976 -125948.834809532,3374952.49579484 -125948.834809532,3374952.49579484 -125684.236417075,3374687.89740239 -125684.236417075,3374687.89740239 -126213.433201989,3374423.29900993 -126213.433201989,3374423.29900993 -126478.031594446,3374158.70061747 -126478.031594446,3374158.70061747 -126213.433201989,3373894.10222502 -126213.433201989,3373894.10222502 -126478.031594446,3373100.30704765 -126478.031594446,3373100.30704765 -126213.433201989,3372835.70865519 -126213.433201989,3372835.70865519 -126742.629986903,3372571.11026273 -126742.629986903,3372571.11026273 -127007.22837936,3372835.70865519 -127007.22837936,3372835.70865519 -127271.826771817,3372571.11026273 -127271.826771817,3372571.11026273 -127536.425164274,3371512.7166929 -127536.425164274,3371512.7166929 -127271.826771817,3371248.11830045 -127271.826771817,3371248.11830045 -127007.22837936,3370454.32312308 -127007.22837936,3370454.32312308 -126742.629986903,3370189.72473062 -126742.629986903,3370189.72473062 -126478.031594446,3370454.32312308 -126478.031594446,3370454.32312308 -126213.433201989,3371512.7166929 -126213.433201989,3371512.7166929 -126478.031594446,3371777.31508536 -126478.031594446,3371777.31508536 -126213.433201989,3372306.51187027 -126213.433201989,3372306.51187027 -126478.031594446,3372571.11026273 -126478.031594446,3372571.11026273 -125948.834809532,3373894.10222502 -125948.834809532,3373894.10222502 -125684.236417075,3374158.70061747 -125684.236417075,3374158.70061747 -125155.039632161,3374687.89740239 -125155.039632161,3374687.89740239 -124890.441239704,3376010.88936467 -124890.441239704,3376010.88936467 -124625.842847247,3375746.29097222 -124625.842847247,3375746.29097222 -124361.24445479,3376010.88936467 -124361.24445479,3376010.88936467 -124096.646062333,3376540.08614959 -124096.646062333,3376540.08614959 -123832.047669876),(3371777.31508536 -126478.031594446,3371777.31508536 -126742.629986903,3371512.7166929 -126742.629986903,3371512.7166929 -127007.22837936,3372041.91347782 -127007.22837936,3372041.91347782 -126478.031594446,3371777.31508536 -126478.031594446))","89","1"
"POLYGON ((3373894.10222502 -126478.031594446,3373894.10222502 -126742.629986903,3374158.70061747 -126742.629986903,3374158.70061747 -126478.031594446,3373894.10222502 -126478.031594446))","90","1"
"POLYGON ((3378656.87328924 -126478.031594446,3378656.87328924 -126742.629986903,3378921.4716817 -126742.629986903,3378921.4716817 -126478.031594446,3378656.87328924 -126478.031594446))","91","1"
"POLYGON ((3391092.99773472 -126478.031594446,3391092.99773472 -126742.629986903,3391357.59612718 -126742.629986903,3391357.59612718 -126478.031594446,3391092.99773472 -126478.031594446))","92","1"
"POLYGON ((3369925.12633816 -126742.629986903,3369925.12633816 -127007.22837936,3370189.72473062 -127007.22837936,3370189.72473062 -126742.629986903,3369925.12633816 -126742.629986903))","93","1"
"POLYGON ((3377863.07811187 -126742.629986903,3377863.07811187 -127007.22837936,3378127.67650433 -127007.22837936,3378127.67650433 -126742.629986903,3377863.07811187 -126742.629986903))","94","1"
"POLYGON ((3390034.60416489 -126742.629986903,3390034.60416489 -127007.22837936,3390299.20255735 -127007.22837936,3390299.20255735 -126742.629986903,3390034.60416489 -126742.629986903))","95","1"
"POLYGON ((3368337.53598342 -126742.629986903,3368602.13437588 -126742.629986903,3368602.13437588 -127271.826771817,3368072.93759096 -127271.826771817,3368072.93759096 -127007.22837936,3368337.53598342 -127007.22837936,3368337.53598342 -126742.629986903))","96","1"
"POLYGON ((3378392.27489679 -127007.22837936,3378392.27489679 -127271.826771817,3378656.87328924 -127271.826771817,3378656.87328924 -127007.22837936,3378392.27489679 -127007.22837936))","97","1"
"POLYGON ((3376540.08614959 -127271.826771817,3376540.08614959 -127536.425164274,3376804.68454204 -127536.425164274,3376804.68454204 -127271.826771817,3376540.08614959 -127271.826771817))","98","1"
"POLYGON ((3378127.67650433 -127271.826771817,3378127.67650433 -127536.425164274,3378392.27489679 -127536.425164274,3378392.27489679 -127271.826771817,3378127.67650433 -127271.826771817))","99","1"
"POLYGON ((3361193.37938708 -128065.621949188,3361193.37938708 -128330.220341645,3361457.97777954 -128330.220341645,3361457.97777954 -128594.818734102,3361722.576172 -128594.818734102,3361722.576172 -128065.621949188,3361193.37938708 -128065.621949188))","100","1"
"POLYGON ((3377333.88132696 -128065.621949188,3377333.88132696 -128594.818734102,3377598.47971941 -128594.818734102,3377598.47971941 -128065.621949188,3377333.88132696 -128065.621949188))","101","1"
"POLYGON ((3397972.5559386 -128330.220341645,3397972.5559386 -128594.818734102,3398237.15433106 -128594.818734102,3398237.15433106 -128330.220341645,3397972.5559386 -128330.220341645))","102","1"
"POLYGON ((3361193.37938708 -128594.818734102,3361193.37938708 -128859.417126559,3361457.97777954 -128859.417126559,3361457.97777954 -128594.818734102,3361193.37938708 -128594.818734102))","103","1"
"POLYGON ((3360928.78099462 -128859.417126559,3360928.78099462 -129124.015519016,3361193.37938708 -129124.015519016,3361193.37938708 -128859.417126559,3360928.78099462 -128859.417126559))","104","1"
"POLYGON ((3379186.07007416 -128859.417126559,3379186.07007416 -129124.015519016,3379450.66846661 -129124.015519016,3379450.66846661 -128859.417126559,3379186.07007416 -128859.417126559))","105","1"
"POLYGON ((3395855.76879895 -128859.417126559,3395855.76879895 -129124.015519016,3396120.36719141 -129124.015519016,3396120.36719141 -128859.417126559,3395855.76879895 -128859.417126559))","106","1"
"POLYGON ((3374687.89740239 -128859.417126559,3374952.49579484 -128859.417126559,3374952.49579484 -130182.409088844,3374687.89740239 -130182.409088844,3374687.89740239 -129653.21230393,3374158.70061747 -129653.21230393,3374158.70061747 -129124.015519016,3374423.29900993 -129124.015519016,3374423.29900993 -129388.613911473,3374687.89740239 -129388.613911473,3374687.89740239 -128859.417126559))","107","1"
"POLYGON ((3382625.8491761 -129653.21230393,3382625.8491761 -129917.810696387,3382890.44756855 -129917.810696387,3382890.44756855 -129653.21230393,3382625.8491761 -129653.21230393))","108","1"
"POLYGON ((3396649.56397632 -129653.21230393,3396649.56397632 -129917.810696387,3396914.16236878 -129917.810696387,3396914.16236878 -129653.21230393,3396649.56397632 -129653.21230393))","109","1"
"POLYGON ((3397178.76076123 -129917.810696387,3397178.76076123 -130182.409088844,3397443.35915369 -130182.409088844,3397443.35915369 -129917.810696387,3397178.76076123 -129917.810696387))","110","1"
"POLYGON ((3397972.5559386 -129917.810696387,3397972.5559386 -130182.409088844,3398237.15433106 -130182.409088844,3398237.15433106 -129917.810696387,3397972.5559386 -129917.810696387))","111","1"
"POLYGON ((3372835.70865519 -130447.007481301,3372835.70865519 -130711.605873758,3373100.30704765 -130711.605873758,3373100.30704765 -130447.007481301,3372835.70865519 -130447.007481301))","112","1"
"POLYGON ((3396914.16236878 -130447.007481301,3396914.16236878 -130711.605873758,3397178.76076123 -130711.605873758,3397178.76076123 -130447.007481301,3396914.16236878 -130447.007481301))","113","1"
"POLYGON ((3360399.58420971 -130711.605873758,3360399.58420971 -130976.204266215,3360664.18260217 -130976.204266215,3360664.18260217 -130711.605873758,3360399.58420971 -130711.605873758))","114","1"
"POLYGON ((3397443.35915369 -130711.605873758,3397443.35915369 -130976.204266215,3397707.95754615 -130976.204266215,3397707.95754615 -130711.605873758,3397443.35915369 -130711.605873758))","115","1"
"POLYGON ((3400618.53986317 -130711.605873758,3400618.53986317 -130976.204266215,3400883.13825563 -130976.204266215,3400883.13825563 -130711.605873758,3400618.53986317 -130711.605873758))","116","1"
"POLYGON ((3402206.13021792 -130711.605873758,3402206.13021792 -130976.204266215,3402470.72861037 -130976.204266215,3402470.72861037 -130711.605873758,3402206.13021792 -130711.605873758))","117","1"
"POLYGON ((3408291.89324443 -130711.605873758,3408291.89324443 -130976.204266215,3408556.49163688 -130976.204266215,3408556.49163688 -130711.605873758,3408291.89324443 -130711.605873758))","118","1"
"POLYGON ((3357224.40350023 -130976.204266215,3357224.40350023 -131240.802658672,3357489.00189268 -131240.802658672,3357489.00189268 -130976.204266215,3357224.40350023 -130976.204266215))","119","1"
"POLYGON ((3397707.95754615 -130447.007481301,3398237.15433106 -130447.007481301,3398237.15433106 -131240.802658672,3397707.95754615 -131240.802658672,3397707.95754615 -130976.204266215,3397972.5559386 -130976.204266215,3397972.5559386 -130711.605873758,3397707.95754615 -130711.605873758,3397707.95754615 -130447.007481301))","120","1"
"POLYGON ((3389770.00577244 -131240.802658672,3389770.00577244 -131505.401051129,3390034.60416489 -131505.401051129,3390034.60416489 -131240.802658672,3389770.00577244 -131240.802658672))","121","1"
"POLYGON ((3398501.75272352 -131240.802658672,3398501.75272352 -131505.401051129,3398766.35111598 -131505.401051129,3398766.35111598 -131240.802658672,3398501.75272352 -131240.802658672))","122","1"
"POLYGON ((3401676.933433 -131240.802658672,3401676.933433 -131505.401051129,3401941.53182546 -131505.401051129,3401941.53182546 -131240.802658672,3401676.933433 -131240.802658672))","123","1"
"POLYGON ((3398237.15433106 -131505.401051129,3398237.15433106 -131769.999443586,3398501.75272352 -131769.999443586,3398501.75272352 -131505.401051129,3398237.15433106 -131505.401051129))","124","1"
"POLYGON ((3397972.5559386 -131769.999443586,3397972.5559386 -132034.597836043,3398237.15433106 -132034.597836043,3398237.15433106 -131769.999443586,3397972.5559386 -131769.999443586))","125","1"
"POLYGON ((3360664.18260217 -132034.597836043,3360664.18260217 -132299.1962285,3360928.78099462 -132299.1962285,3360928.78099462 -132034.597836043,3360664.18260217 -132034.597836043))","126","1"
"POLYGON ((3401676.933433 -132034.597836043,3401676.933433 -132299.1962285,3401941.53182546 -132299.1962285,3401941.53182546 -132034.597836043,3401676.933433 -132034.597836043))","127","1"
"POLYGON ((3358547.39546251 -132299.1962285,3358547.39546251 -132563.794620957,3359076.59224743 -132563.794620957,3359076.59224743 -132299.1962285,3358547.39546251 -132299.1962285))","128","1"
"POLYGON ((3400883.13825563 -132299.1962285,3400883.13825563 -132563.794620957,3401147.73664809 -132563.794620957,3401147.73664809 -132299.1962285,3400883.13825563 -132299.1962285))","129","1"
"POLYGON ((3401941.53182546 -131505.401051129,3402206.13021792 -131505.401051129,3402206.13021792 -131769.999443586,3402470.72861037 -131769.999443586,3402470.72861037 -132034.597836043,3402999.92539529 -132034.597836043,3402999.92539529 -132299.1962285,3402470.72861037 -132299.1962285,3402470.72861037 -132563.794620957,3401941.53182546 -132563.794620957,3401941.53182546 -132299.1962285,3402206.13021792 -132299.1962285,3402206.13021792 -132034.597836043,3401941.53182546 -132034.597836043,3401941.53182546 -131505.401051129))","130","1"
"POLYGON ((3359076.59224743 -132563.794620957,3359076.59224743 -132828.393013414,3359870.3874248 -132828.393013414,3359870.3874248 -132563.794620957,3359076.59224743 -132563.794620957))","131","1"
"POLYGON ((3401147.73664809 -130976.204266215,3401412.33504055 -130976.204266215,3401412.33504055 -131505.401051129,3401676.933433 -131505.401051129,3401676.933433 -131769.999443586,3400883.13825563 -131769.999443586,3400883.13825563 -132299.1962285,3400618.53986317 -132299.1962285,3400618.53986317 -132563.794620957,3400353.94147072 -132563.794620957,3400353.94147072 -132828.393013414,3400089.34307826 -132828.393013414,3400089.34307826 -133092.991405871,3399560.14629335 -133092.991405871,3399560.14629335 -132828.393013414,3399295.54790089 -132828.393013414,3399295.54790089 -132563.794620957,3400089.34307826 -132563.794620957,3400089.34307826 -132034.597836043,3400353.94147072 -132034.597836043,3400353.94147072 -131769.999443586,3400618.53986317 -131769.999443586,3400618.53986317 -131505.401051129,3400883.13825563 -131505.401051129,3400883.13825563 -131240.802658672,3401147.73664809 -131240.802658672,3401147.73664809 -130976.204266215))","132","1"
"POLYGON ((3397443.35915369 -132828.393013414,3397443.35915369 -133092.991405871,3397707.95754615 -133092.991405871,3397707.95754615 -132828.393013414,3397443.35915369 -132828.393013414))","133","1"
"POLYGON ((3359341.19063988 -133092.991405871,3359341.19063988 -133622.188190785,3360399.58420971 -133622.188190785,3360399.58420971 -133357.589798328,3360134.98581725 -133357.589798328,3360134.98581725 -133092.991405871,3359341.19063988 -133092.991405871))","134","1"
"POLYGON ((3361987.17456445 -133092.991405871,3361987.17456445 -133357.589798328,3362780.96974182 -133357.589798328,3362780.96974182 -133092.991405871,3361987.17456445 -133092.991405871))","135","1"
"POLYGON ((3360399.58420971 -133622.188190785,3360399.58420971 -133886.786583242,3360928.78099462 -133886.786583242,3360928.78099462 -133622.188190785,3360399.58420971 -133622.188190785))","136","1"
"POLYGON ((3364103.96170411 -134415.983368156,3364103.96170411 -134680.581760613,3364368.56009656 -134680.581760613,3364368.56009656 -134415.983368156,3364103.96170411 -134415.983368156))","137","1"
"POLYGON ((3310919.68482025 -135474.376937984,3310919.68482025 -135738.975330441,3311184.28321271 -135738.975330441,3311184.28321271 -135474.376937984,3310919.68482025 -135474.376937984))","138","1"
"POLYGON ((3311713.47999762 -135474.376937984,3311713.47999762 -136268.172115355,3311978.07839008 -136268.172115355,3311978.07839008 -135474.376937984,3311713.47999762 -135474.376937984))","139","1"
"POLYGON ((3310919.68482025 -136003.573722898,3310919.68482025 -136268.172115355,3311184.28321271 -136268.172115355,3311184.28321271 -136003.573722898,3310919.68482025 -136003.573722898))","140","1"
"POLYGON ((3312242.67678254 -136003.573722898,3312242.67678254 -136532.770507812,3312771.87356745 -136532.770507812,3312771.87356745 -136268.172115355,3312507.27517499 -136268.172115355,3312507.27517499 -136003.573722898,3312242.67678254 -136003.573722898))","141","1"
"POLYGON ((3400618.53986317 -136268.172115355,3400618.53986317 -136532.770507812,3400883.13825563 -136532.770507812,3400883.13825563 -136268.172115355,3400618.53986317 -136268.172115355))","142","1"
"POLYGON ((3358018.1986776 -136532.770507812,3358018.1986776 -136797.368900269,3358282.79707005 -136797.368900269,3358282.79707005 -136532.770507812,3358018.1986776 -136532.770507812))","143","1"
"POLYGON ((3400883.13825563 -136532.770507812,3400883.13825563 -136797.368900269,3401147.73664809 -136797.368900269,3401147.73664809 -136532.770507812,3400883.13825563 -136532.770507812))","144","1"
"POLYGON ((3313036.47195991 -136797.368900269,3313036.47195991 -137061.967292726,3313301.07035236 -137061.967292726,3313301.07035236 -136797.368900269,3313036.47195991 -136797.368900269))","145","1"
"POLYGON ((3313565.66874482 -136797.368900269,3313565.66874482 -137061.967292726,3314094.86552974 -137061.967292726,3314094.86552974 -136797.368900269,3313565.66874482 -136797.368900269))","146","1"
"POLYGON ((3314624.06231465 -137061.967292726,3314624.06231465 -137326.565685183,3314888.66070711 -137326.565685183,3314888.66070711 -137061.967292726,3314624.06231465 -137061.967292726))","147","1"
"POLYGON ((3357753.60028514 -137061.967292726,3357753.60028514 -137326.565685183,3358018.1986776 -137326.565685183,3358018.1986776 -137061.967292726,3357753.60028514 -137061.967292726))","148","1"
"POLYGON ((3313565.66874482 -137326.565685183,3313565.66874482 -137855.762470097,3313830.26713728 -137855.762470097,3313830.26713728 -137326.565685183,3313565.66874482 -137326.565685183))","149","1"
"POLYGON ((3359870.3874248 -134151.384975699,3360134.98581725 -134151.384975699,3360134.98581725 -134680.581760613,3360399.58420971 -134680.581760613,3360399.58420971 -134415.983368156,3360664.18260217 -134415.983368156,3360664.18260217 -134680.581760613,3360928.78099462 -134680.581760613,3360928.78099462 -135209.778545527,3361193.37938708 -135209.778545527,3361193.37938708 -134945.18015307,3361457.97777954 -134945.18015307,3361457.97777954 -135209.778545527,3361722.576172 -135209.778545527,3361722.576172 -134945.18015307,3361987.17456445 -134945.18015307,3361987.17456445 -134680.581760613,3362780.96974182 -134680.581760613,3362780.96974182 -134945.18015307,3362516.37134937 -134945.18015307,3362516.37134937 -135209.778545527,3362780.96974182 -135209.778545527,3362780.96974182 -135474.376937984,3363310.16652674 -135474.376937984,3363310.16652674 -135738.975330441,3363574.76491919 -135738.975330441,3363574.76491919 -136003.573722898,3364368.56009656 -136003.573722898,3364368.56009656 -136268.172115355,3364633.15848902 -136268.172115355,3364633.15848902 -136797.368900269,3363574.76491919 -136797.368900269,3363574.76491919 -137061.967292726,3364103.96170411 -137061.967292726,3364103.96170411 -137591.16407764,3360664.18260217 -137591.16407764,3360664.18260217 -138649.557647468,3360399.58420971 -138649.557647468,3360399.58420971 -137326.565685183,3360664.18260217 -137326.565685183,3360664.18260217 -137061.967292726,3360399.58420971 -137061.967292726,3360399.58420971 -136532.770507812,3360664.18260217 -136532.770507812,3360664.18260217 -136268.172115355,3360928.78099462 -136268.172115355,3360928.78099462 -136003.573722898,3360664.18260217 -136003.573722898,3360664.18260217 -135474.376937984,3360134.98581725 -135474.376937984,3360134.98581725 -135209.778545527,3360399.58420971 -135209.778545527,3360399.58420971 -134945.18015307,3359870.3874248 -134945.18015307,3359870.3874248 -134151.384975699),(3361987.17456445 -134945.18015307,3361987.17456445 -135209.778545527,3362251.77295691 -135209.778545527,3362251.77295691 -134945.18015307,3361987.17456445 -134945.18015307),(3362516.37134937 -136003.573722898,3362516.37134937 -136268.172115355,3363574.76491919 -136268.172115355,3363574.76491919 -136003.573722898,3362516.37134937 -136003.573722898),(3360928.78099462 -137061.967292726,3360928.78099462 -137326.565685183,3361722.576172 -137326.565685183,3361722.576172 -137061.967292726,3360928.78099462 -137061.967292726))","150","1"
