fid,radio_type,lon,lat
406,GSM,30.056291,-2.195384
407,GSM,30.042286,-2.200012
408,GSM,30.099278,-2.194436
409,GSM,30.038338,-2.182942
410,GSM,30.047836,-2.181931
411,GSM,30.057533,-2.193208
412,GSM,30.143513,-2.153554
413,GSM,30.077591,-2.146912
414,GSM,30.035934,-2.179642
415,GSM,30.05516052,-2.197952271
416,GSM,30.047518,-2.188399
417,GSM,30.012584,-2.016679
418,GSM,30.052757,-2.210142
419,GSM,30.016084,-2.194207
420,GSM,30.048294,-2.17907
421,GSM,30.04966736,-2.200698853
422,GSM,30.049667,-2.201385
423,GSM,30.018925,-2.190007
424,GSM,30.01945496,-2.203445435
425,GSM,30.064259,-2.162933
426,GSM,30.019416,-2.18728
427,GSM,30.035172,-2.176895
428,GSM,30.049667,-2.181001
429,GSM,29.981785,-2.175983
430,GSM,29.96919,-2.179004
431,GSM,30.046578,-2.17083
432,GSM,30.019913,-2.203445
433,GSM,30.02220154,-2.180099487
434,GSM,30.019302,-2.198105
435,GSM,30.013275,-2.192459
436,GSM,29.910376,-2.188148
437,GSM,29.861526,-2.19521
438,GSM,30.079625,-2.089494
439,GSM,30.051316,-2.164032
440,GSM,30.062119,-2.169022
441,GSM,30.06958,-2.160874
442,GSM,30.03593445,-2.177352905
443,GSM,30.086064,-2.126543
444,GSM,30.089493,-2.17701
445,UMTS,30.042549,-2.107066
446,GSM,30.055344,-2.174789
447,GSM,30.100479,-2.033844
448,UMTS,30.104403,-1.966258
449,UMTS,30.082792,-1.937559
450,UMTS,30.087291,-1.94085
451,UMTS,30.092239,-1.947915
452,UMTS,30.090408,-1.945724
453,UMTS,30.102997,-1.97628
454,UMTS,30.086497,-1.941022
455,UMTS,30.092239,-1.951981
456,GSM,30.068345,-1.931603
457,UMTS,30.080566,-1.9384
458,UMTS,30.102893,-1.960258
459,UMTS,30.102814,-1.967377
460,GSM,30.100381,-1.955174
461,UMTS,30.10185242,-1.965866089
462,UMTS,30.078758,-1.934301
463,UMTS,30.075302,-1.933365
464,GSM,30.102081,-1.953506
465,UMTS,30.104342,-1.95584
466,GSM,30.09651,-1.953598
467,GSM,30.101179,-1.951571
468,GSM,30.104874,-1.958725
469,GSM,30.098321,-1.952133
470,UMTS,30.094986,-1.953964
471,UMTS,30.099798,-1.955493
472,UMTS,30.090367,-1.945267
473,UMTS,29.638367,-1.50753
474,GSM,30.116135,-1.955704
475,UMTS,30.081253,-1.975013
476,UMTS,30.081621,-1.974776
477,GSM,30.081228,-1.974605
